"player","nation","pos","team","played_90s","shot_create_action","sca_live","sca_dead","sca_take_on","sca_shot","sca_foul","sca_defense","goal_create_action","gca_live","gca_dead","gca_take_on","gca_shot","gca_foul","gca_defense"
"Max Aarons","ENG","DF","Bournemouth","1.0","2","2","0","0","0","0","0","0","0","0","0","0","0","0"
"Joshua Acheampong","ENG","DF","Chelsea","1.9","2","2","0","0","0","0","0","0","0","0","0","0","0","0"
"Tyler Adams","USA","MF","Bournemouth","21.8","41","35","0","0","1","1","4","4","3","0","0","0","0","1"
"Tosin Adarabioyo","ENG","DF","Chelsea","15.7","15","8","0","0","6","0","1","1","0","0","0","1","0","0"
"Simon Adingra","CIV","FW,MF","Brighton","12.2","47","33","0","6","8","0","0","7","5","0","1","1","0","0"
"Emmanuel Agbadou","CIV","DF","Wolves","15.7","17","15","2","0","0","0","0","3","2","1","0","0","0","0"
"Asher Agbinone","ENG","MF","Crystal Palace","0.1","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Ola Aina","NGA","DF","Nott'ham Forest","33.3","62","49","5","3","1","3","1","4","3","0","0","0","0","1"
"Rayan Aït-Nouri","ALG","DF","Wolves","34.5","91","56","15","8","7","4","1","12","10","1","0","0","0","1"
"Kristoffer Ajer","NOR","DF","Brentford","16.0","18","15","0","1","2","0","0","2","2","0","0","0","0","0"
"Manuel Akanji","SUI","DF","Manchester City","22.4","37","37","0","0","0","0","0","3","3","0","0","0","0","0"
"Nathan Aké","NED","DF","Manchester City","7.5","8","8","0","0","0","0","0","0","0","0","0","0","0","0"
"Carlos Alcaraz","ARG","MF","Southampton","0.1","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Carlos Alcaraz","ARG","FW,MF","Everton","8.5","33","24","2","3","3","1","0","6","5","0","0","1","0","0"
"Trent Alexander-Arnold","ENG","DF","Liverpool","26.3","98","74","15","5","4","0","0","10","9","1","0","0","0","0"
"Alisson","BRA","GK","Liverpool","27.9","7","7","0","0","0","0","0","1","1","0","0","0","0","0"
"Miguel Almirón","PAR","FW","Newcastle Utd","1.7","8","6","0","1","1","0","0","0","0","0","0","0","0","0"
"Olabade Aluko",NA,"DF","Leicester City","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Edson Álvarez","MEX","MF","West Ham","19.7","28","24","0","2","1","1","0","2","2","0","0","0","0","0"
