"player","nation","pos","team","played_90s","pass_att","live_pass","dead_pass","free_kicks","through_balls","switches","crosses","throw_ins","corners","inswingers","outswingers","straight_corners","pass_comp","pass_offside","pass_block"
"Max Aarons","ENG","DF","Bournemouth","1.0","63","51","12","2","0","0","2","10","0","0","0","0","50","0","1"
"Joshua Acheampong","ENG","DF","Chelsea","1.9","124","121","3","2","0","0","0","1","0","0","0","0","104","0","2"
"Tyler Adams","USA","MF","Bournemouth","21.8","1069","1025","38","34","2","1","3","4","0","0","0","0","902","6","14"
"Tosin Adarabioyo","ENG","DF","Chelsea","15.7","1184","1142","39","23","2","3","0","4","0","0","0","0","1079","3","3"
"Simon Adingra","CIV","FW,MF","Brighton","12.2","382","372","9","0","2","0","41","8","1","0","0","0","290","1","12"
"Emmanuel Agbadou","CIV","DF","Wolves","15.7","1001","955","43","28","1","11","2","0","0","0","0","0","855","3","5"
"Asher Agbinone","ENG","MF","Crystal Palace","0.1","3","3","0","0","0","0","1","0","0","0","0","0","2","0","0"
"Ola Aina","NGA","DF","Nott'ham Forest","33.3","1352","1071","279","15","0","4","59","264","0","0","0","0","994","2","46"
"Rayan Aït-Nouri","ALG","DF","Wolves","34.5","1721","1397","320","44","3","4","94","246","30","24","1","0","1449","4","42"
"Kristoffer Ajer","NOR","DF","Brentford","16.0","644","570","73","2","0","3","14","71","0","0","0","0","504","1","18"
"Manuel Akanji","SUI","DF","Manchester City","22.4","1744","1707","36","18","4","10","11","10","0","0","0","0","1632","1","6"
"Nathan Aké","NED","DF","Manchester City","7.5","542","514","26","13","0","0","1","7","0","0","0","0","509","2","3"
"Carlos Alcaraz","ARG","MF","Southampton","0.1","13","11","2","0","0","0","1","1","1","0","0","0","13","0","0"
"Carlos Alcaraz","ARG","FW,MF","Everton","8.5","278","265","12","2","1","2","11","6","3","2","1","0","224","1","10"
"Trent Alexander-Arnold","ENG","DF","Liverpool","26.3","1971","1651","310","63","12","32","153","192","55","34","12","1","1448","10","36"
"Alisson","BRA","GK","Liverpool","27.9","959","836","121","41","1","1","0","0","0","0","0","0","794","2","1"
"Miguel Almirón","PAR","FW","Newcastle Utd","1.7","66","64","1","0","1","0","0","1","0","0","0","0","54","1","2"
"Olabade Aluko",NA,"DF","Leicester City","0.0","5","4","1","1","0","0","0","0","0","0","0","0","3","0","0"
"Edson Álvarez","MEX","MF","West Ham","19.7","1003","980","16","12","3","12","6","3","0","0","0","0","861","7","10"
"Will Alves","ENG","FW","Leicester City","0.0","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0"
"Harry Amass","ENG","DF","Manchester Utd","3.8","181","150","31","2","0","0","9","29","0","0","0","0","149","0","3"
"Samuel Amo-Ameyaw","ENG","FW,DF","Southampton","0.3","9","8","1","0","0","0","2","0","1","0","0","0","8","0","0"
"Mathis Amougou","FRA","MF","Chelsea","0.1","7","7","0","0","0","0","0","0","0","0","0","0","7","0","0"
"Joachim Andersen","DEN","DF","Crystal Palace","1.0","83","81","2","1","0","0","1","0","1","0","0","0","61","0","0"
"Joachim Andersen","DEN","DF","Fulham","28.7","2000","1891","102","81","0","35","12","9","0","0","0","0","1654","7","8"
"Elliot Anderson","ENG","MF","Nott'ham Forest","30.3","1386","1292","85","26","7","4","86","2","48","17","28","0","1085","9","35"
"André","BRA","MF","Wolves","27.5","1342","1308","32","28","5","15","0","2","0","0","0","0","1247","2","14"
"Michail Antonio","JAM","FW","West Ham","9.3","188","175","11","0","3","6","25","7","0","0","0","0","114","2","14"
"Antony","BRA","DF,MF","Manchester Utd","1.6","69","62","7","2","0","0","5","5","0","0","0","0","56","0","1"
"Julian Araujo","MEX","DF","Bournemouth","5.5","225","198","27","2","0","0","9","25","0","0","0","0","178","0","2"
"Cameron Archer","ENG","FW","Southampton","16.0","251","231","19","0","2","0","3","0","0","0","0","0","205","1","8"
"Alphonse Areola","FRA","GK","West Ham","25.1","989","716","268","72","0","3","0","0","0","0","0","0","688","5","3"
"Joe Aribo","NGA","MF,DF","Southampton","22.4","1046","1032","13","4","2","1","10","4","0","0","0","0","929","1","15"
"Adam Armstrong","ENG","FW,MF","Southampton","13.9","288","268","18","0","0","1","14","3","0","0","0","0","231","2","12"
"Harrison Armstrong","ENG","MF","Everton","0.5","15","13","1","0","0","0","1","0","0","0","0","0","7","1","0"
"Kepa Arrizabalaga","ESP","GK","Bournemouth","31.0","1027","728","295","103","0","0","0","0","0","0","0","0","752","4","2"
"Marco Asensio","ESP","MF","Aston Villa","8.3","313","271","39","14","2","1","38","0","23","11","1","0","242","3","8"
"Brandon Austin","ENG","GK","Tottenham","1.0","32","24","8","2","0","0","0","0","0","0","0","0","22","0","0"
"Taiwo Awoniyi","NGA","FW","Nott'ham Forest","4.6","96","96","0","0","1","0","2","0","0","0","0","0","61","0","4"
"Yasin Ayari","SWE","MF","Brighton","21.8","973","880","92","34","10","1","69","3","37","27","6","1","793","1","14"
"Jordan Ayew","GHA","FW,MF","Crystal Palace","0.2","10","8","2","0","0","1","1","0","1","1","0","0","8","0","0"
"Jordan Ayew","GHA","FW,MF","Leicester City","18.2","540","490","49","13","3","2","60","5","28","15","8","3","401","1","11"
"Benoît Badiashile","FRA","DF","Chelsea","3.7","304","288","15","5","0","1","0","0","0","0","0","0","273","1","0"
"Leon Bailey","JAM","FW,MF","Aston Villa","12.7","390","369","18","0","5","1","34","1","17","9","0","0","277","3","24"
