"player","nation","pos","team","played_90s","touches","touches_def_pen","touches_def_3rd","touches_mid_3rd","touches_att_3rd","touches_att_pen","take_ons_att","take_ons_succ","take_ons_tackled","carries","carry_dist","prog_carry_dist","prog_carries","carries_final_3rd","carries_att_pen","miscontrols","dispossessed","passes_rec","prog_passes_rec"
"Max Aarons","ENG","DF","Bournemouth","1.0","73","2","19","40","15","0","2","0","1","41","152","68","1","0","0","1","0","40","3"
"Joshua Acheampong","ENG","DF","Chelsea","1.9","137","7","48","81","8","3","2","1","0","106","709","409","0","2","0","2","0","111","0"
"Tyler Adams","USA","MF","Bournemouth","21.8","1337","62","349","779","224","18","18","4","10","663","3337","1447","14","22","1","28","12","757","10"
"Tosin Adarabioyo","ENG","DF","Chelsea","15.7","1330","175","630","674","27","14","6","4","1","777","3207","1809","5","2","0","4","0","1000","1"
"Simon Adingra","CIV","FW,MF","Brighton","12.2","548","10","66","174","315","76","50","21","27","366","2514","1300","50","21","27","39","12","388","136"
"Emmanuel Agbadou","CIV","DF","Wolves","15.7","1172","190","649","504","28","7","13","10","2","758","3670","1752","6","4","0","6","4","796","2"
"Asher Agbinone","ENG","MF","Crystal Palace","0.1","8","0","0","2","6","0","2","0","1","5","53","23","2","0","0","0","1","5","1"
"Ola Aina","NGA","DF","Nott'ham Forest","33.3","1708","156","613","717","409","22","72","33","27","749","4798","2787","67","46","10","44","22","822","67"
"Rayan Aït-Nouri","ALG","DF","Wolves","34.5","2148","96","577","916","685","96","137","63","56","1129","6166","3205","89","62","28","52","47","1321","176"
"Kristoffer Ajer","NOR","DF","Brentford","16.0","795","53","265","368","168","38","16","7","8","387","2098","1180","27","11","2","15","12","491","44"
"Manuel Akanji","SUI","DF","Manchester City","22.4","1881","119","559","920","405","19","2","2","0","1254","6953","4234","46","64","0","5","5","1483","7"
"Nathan Aké","NED","DF","Manchester City","7.5","596","51","205","331","61","5","1","1","0","403","2244","1501","12","12","1","4","3","449","2"
"Carlos Alcaraz","ARG","MF","Southampton","0.1","17","0","1","8","9","2","2","0","2","12","112","98","4","1","0","0","0","12","1"
"Carlos Alcaraz","ARG","FW,MF","Everton","8.5","378","15","63","168","156","19","18","9","7","211","1331","707","19","21","2","14","13","247","21"
"Trent Alexander-Arnold","ENG","DF","Liverpool","26.3","2252","88","593","1013","660","44","37","17","17","1183","5353","2860","51","36","9","19","15","1436","94"
"Alisson","BRA","GK","Liverpool","27.9","1011","742","991","20","0","0","1","1","0","658","2625","1586","0","0","0","1","0","618","0"
"Miguel Almirón","PAR","FW","Newcastle Utd","1.7","81","1","10","35","36","9","2","1","1","54","284","93","3","3","2","0","2","59","18"
"Olabade Aluko",NA,"DF","Leicester City","0.0","6","0","0","6","1","0","1","0","1","2","1","0","0","0","0","0","1","2","0"
"Edson Álvarez","MEX","MF","West Ham","19.7","1239","67","361","693","194","12","33","14","14","687","3783","1714","24","22","2","27","15","830","18"
"Will Alves","ENG","FW","Leicester City","0.0","1","0","0","0","1","0","0","0","0","1","5","5","0","0","0","0","0","1","1"
"Harry Amass","ENG","DF","Manchester Utd","3.8","250","13","82","88","84","5","8","3","4","132","705","376","9","6","2","18","5","124","23"
"Samuel Amo-Ameyaw","ENG","FW,DF","Southampton","0.3","16","0","5","5","7","1","4","0","3","11","98","68","1","0","1","0","2","11","3"
"Mathis Amougou","FRA","MF","Chelsea","0.1","9","1","2","4","3","0","0","0","0","7","25","5","0","1","0","0","1","6","0"
"Joachim Andersen","DEN","DF","Crystal Palace","1.0","93","14","38","50","5","0","0","0","0","49","189","103","1","1","0","0","1","67","1"
"Joachim Andersen","DEN","DF","Fulham","28.7","2336","340","1233","1013","102","22","6","4","0","1350","6505","3435","16","14","1","6","3","1621","2"
"Elliot Anderson","ENG","MF","Nott'ham Forest","30.3","1831","102","424","890","547","72","75","36","30","932","5071","2366","52","32","21","60","49","1088","94"
"André","BRA","MF","Wolves","27.5","1623","89","439","1046","155","3","32","16","12","912","3764","1688","10","17","0","30","21","1093","11"
"Michail Antonio","JAM","FW","West Ham","9.3","296","3","26","124","151","36","27","9","13","173","1177","695","29","13","9","35","19","221","59"
"Antony","BRA","DF,MF","Manchester Utd","1.6","101","2","22","26","54","8","11","4","6","60","317","182","5","6","1","5","1","69","7"
"Julian Araujo","MEX","DF","Bournemouth","5.5","275","20","90","136","55","2","1","0","1","126","482","258","4","3","0","5","2","149","22"
"Cameron Archer","ENG","FW","Southampton","16.0","398","16","69","179","154","52","37","15","20","226","1182","564","22","10","14","40","26","274","66"
"Alphonse Areola","FRA","GK","West Ham","25.1","1049","833","1038","12","0","0","0","0","0","601","2480","1348","0","0","0","0","0","555","0"
"Joe Aribo","NGA","MF,DF","Southampton","22.4","1271","52","313","670","299","44","49","21","22","745","4068","2021","36","29","12","27","19","925","65"
