"player","nation","pos","team","played_90s","goals","shots","shots_ot","on_target_pct","shots_p90","shots_ot_p90","goals_per_shot","goals_per_sot","avg_shot_dist","free_kick_shots","pens","pens_taken"
"Max Aarons","ENG","DF","Bournemouth","1.0","0","0","0","","0.00","0.00","","","","0","0","0"
"Joshua Acheampong","ENG","DF","Chelsea","1.9","0","2","0","0.0","1.06","0.00","0.00","","8.9","0","0","0"
"Tyler Adams","USA","MF","Bournemouth","21.8","0","9","2","22.2","0.41","0.09","0.00","0.00","16.9","0","0","0"
"Tosin Adarabioyo","ENG","DF","Chelsea","15.7","1","13","2","15.4","0.83","0.13","0.08","0.50","12.5","0","0","0"
"Simon Adingra","CIV","FW,MF","Brighton","12.2","2","33","8","24.2","2.71","0.66","0.06","0.25","17.0","0","0","0"
"Emmanuel Agbadou","CIV","DF","Wolves","15.7","1","7","2","28.6","0.45","0.13","0.14","0.50","27.6","1","0","0"
"Asher Agbinone","ENG","MF","Crystal Palace","0.1","0","1","0","0.0","15.00","0.00","0.00","","26.3","0","0","0"
"Ola Aina","NGA","DF","Nott'ham Forest","33.3","2","11","2","18.2","0.33","0.06","0.18","1.00","26.1","0","0","0"
"Rayan Aït-Nouri","ALG","DF","Wolves","34.5","4","36","10","27.8","1.04","0.29","0.11","0.40","14.9","0","0","0"
"Kristoffer Ajer","NOR","DF","Brentford","16.0","0","9","3","33.3","0.56","0.19","0.00","0.00","9.5","0","0","0"
"Manuel Akanji","SUI","DF","Manchester City","22.4","0","15","2","13.3","0.67","0.09","0.00","0.00","14.7","0","0","0"
"Nathan Aké","NED","DF","Manchester City","7.5","0","3","0","0.0","0.40","0.00","0.00","","10.0","0","0","0"
"Carlos Alcaraz","ARG","MF","Southampton","0.1","0","1","1","100.0","9.00","9.00","0.00","0.00","9.7","0","0","0"
"Carlos Alcaraz","ARG","FW,MF","Everton","8.5","2","26","11","42.3","3.06","1.30","0.08","0.18","20.3","1","0","0"
"Trent Alexander-Arnold","ENG","DF","Liverpool","26.3","3","45","8","17.8","1.71","0.30","0.07","0.38","23.6","3","0","0"
"Alisson","BRA","GK","Liverpool","27.9","0","0","0","","0.00","0.00","","","","0","0","0"
