"player","nation","pos","team","age","matches_played","matches_started","mins_played","played_90s","goals","assists","np_goals","pens_scored","pens_taken","yellows","reds","xG","npxG","xAG","prog_carries","prog_passes"
"Tyler Adams","USA","MF","Bournemouth",NA,"28","21","1,965",21.8,"0","3","0","0","0","7","0","1.6","1.6","1.0","14","76"
"Tosin Adarabioyo","ENG","DF","Chelsea",NA,"22","15","1,409",15.7,"1","1","1","0","0","4","0","0.9","0.9","0.2","5","42"
"Simon Adingra","CIV","FW,MF","Brighton",NA,"29","12","1,097",12.2,"2","2","2","0","0","0","0","2.5","2.5","2.5","50","18"
"Emmanuel Agbadou","CIV","DF","Wolves",NA,"16","16","1,410",15.7,"1","0","1","0","0","3","0","0.8","0.8","0.2","6","31"
"Ola Aina","NGA","DF","Nott'ham Forest",NA,"35","35","2,995",33.3,"2","1","2","0","0","5","0","0.6","0.6","1.4","67","107"
"Rayan Aït-Nouri","ALG","DF","Wolves",NA,"37","37","3,109",34.5,"4","7","4","0","0","7","1","2.7","2.7","5.5","89","108"
"Kristoffer Ajer","NOR","DF","Brentford",NA,"24","17","1,438",16,"0","0","0","0","0","5","0","1.0","1.0","1.2","27","56"
"Manuel Akanji","SUI","DF","Manchester City",NA,"26","23","2,014",22.4,"0","0","0","0","0","3","0","1.6","1.6","0.4","46","158"
"Nathan Aké","NED","DF","Manchester City",NA,"10","8","678",7.5,"0","0","0","0","0","0","0","0.2","0.2","0.0","12","50"
"Carlos Alcaraz","ARG","FW,MF","Everton",NA,"15","7","764",8.5,"2","3","2","0","0","4","0","1.7","1.7","1.6","19","42"
"Trent Alexander-Arnold","ENG","DF","Liverpool",NA,"33","28","2,365",26.3,"3","6","3","0","0","5","0","1.9","1.9","7.3","51","232"
"Alisson","BRA","GK","Liverpool",NA,"28","28","2,508",27.9,"0","0","0","0","0","0","0","0.0","0.0","0.6","0","1"
"Edson Álvarez","MEX","MF","West Ham",NA,"28","20","1,772",19.7,"0","1","0","0","0","9","1","0.4","0.4","0.8","24","85"
"Joachim Andersen","DEN","DF","Fulham",NA,"29","29","2,583",28.7,"0","0","0","0","0","6","1","1.0","1.0","0.5","16","112"
